DOI,file_name,Study,Question,Column,Answer,OG_answer,Accurate?,Comments
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,"What is the organism group focused on in the study? Acceptable answers are: Algae, Annelida, Bacteria, Cnidaria, Crustacea, Echinodermata, Fish, Insect, Mollusca, Nematoda, Plant, Rotifera, Not Reported.",Organism Group,"The organism group focused on in the study is Crustacea, specifically the freshwater cladoceran Daphnia magna.[next_chunk]NULL[next_chunk]Crustacea, specifically Daphnia magna.[next_chunk]Not reported.",Crustacea,Yes,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,Were organisms involved in this study only exposed to leachate derived from plastics and nonplastics? Acceptable answers are: Yes or No.,Leachate,"No. The study focused on the impact of 2 µm polystyrene microplastics on Daphnia magna in relation to food availability.[next_chunk]NULL[next_chunk]The information provided in the excerpt does not indicate that the organisms were exposed to leachate derived from plastics and nonplastics. Therefore, the answer is: Not applicable/unclear.[next_chunk]Answer: Yes.",,,Not in old. 
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,Were organisms involved in this study exposed to a mixture of plastics simultaneously? Acceptable answers are: Yes or No.,Mix,"The manuscript states that the study focused on the impact of 2 µm polystyrene microplastics on Daphnia magna in relation to food intake (algae Chlorella vulgaris), with microplastic size chosen to approximately[next_chunk]NULL[next_chunk]Yes. The study involved exposing Daphnia magna to a single concentration of microplastics (2 µm) and also to different combinations of microplastics and algae (Chlorella vulgaris).[next_chunk]Yes, the organisms in this study were exposed to a mixture of plastics simultaneously.",,,Not in old. 
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,Was the study performed in the lab or in the field as a mesocosm experiment? Acceptable answers are Mesocosm or Lab.,Study Type,Lab.[next_chunk]NULL[next_chunk]Lab.[next_chunk]Lab.,,,Not in old. 
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,"Was a negative control, i.e. treatment without plastic particles or leachate used? Acceptable answers are Yes or No. ",Negative Control,"Yes. The control treatment was mp only, without algae.[next_chunk]NULL[next_chunk]The manuscript does not explicitly state whether a negative control was used or not.[next_chunk]Yes, a negative control was used in this study.",Y,Yes,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,Was a particle besides plastic tested in one of the treatments (e.g. kaolin)? Acceptable answers are Yes or No.,Reference Particle,No.[next_chunk]NULL[next_chunk]Yes. Kaolin was tested in one of the treatments in a previous study by Ogonowski et al. (2016).[next_chunk]No.,N,Yes,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,What test media was used in the exposure? Provide the name of the media or state Not Reported.,Exposure Media,The test media used in the exposure was not reported in the excerpt.[next_chunk]NULL[next_chunk]The test media used in the exposure was not reported in the excerpt.[next_chunk]Not Reported.,oecd media,No,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,What test solvent was used in the exposure? Provide the name of the solvent or state Not Reported.,Exposure Solvent,The test solvent used in the exposure was not reported in the excerpt.[next_chunk]NULL[next_chunk]Not reported.[next_chunk]Not Reported.,,Yes,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,What test detergent was used in the exposure? Provide the name of the detergent or state Not Reported.,Exposure Detergent,The manuscript does not mention any test detergent used in the exposure.[next_chunk]NULL[next_chunk]The manuscript does not mention any test detergent used in the exposure.[next_chunk]Not Reported.,,Yes,
10.7717/peerj.4601,Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .pdf,C:/Users/winco/OneDrive/Documents/tomex/TomexOG/full_export/TomexOG/text_converted/Aljaibachi and Callaghan - 2018 - Impact of polystyrene microplastics on Daphnia .txt,What test ph of the media was used in the exposure? Provide the name of the ph or state Not Reported.,Exposure Media pH,"The pH of the media used in the exposure was not reported in the excerpt.[next_chunk]NULL[next_chunk]The test pH of the media used in the exposure was not reported in the excerpt.[next_chunk]As per the manuscript, the test pH of the media used in the exposure was not reported.",,Yes,
