"","Organism Group","Life Stage","Species","Estimated Maximum Ingestible Size (mm)","Level of Biological Organization","Exposure Route","Environment","Acute/Chronic","Exposure Duration (days)","translocatable","Effect Score","Effect Metric","Broad Endpoint Category","Specific Endpoint Category","Empirical Tissue Translocation ERM Conc. (log 10 particles/mL; 1-5,000 um)","Empirical Food Dilution ERM Conc. (log 10 particles/mL; 1-5,000 um)","PA_fraction","PE_fraction","PET_fraction","PLA_fraction","PMMA_fraction","PP_fraction","PS_fraction","PUR_fraction","PVC_fraction","fiber_fraction","fragment_fraction","sphere_fraction"
"1","Mollusca","Adult","Crassostrea gigas",9.51890176843551,"tissue","water","Marine","Acute",10,"non-translocatable",1,"NOEC","Circulatory, Respiratory","Gill Histological Abnormalities",5.11399879279861,3.01545886034801,0,0,0,0,0,1,0,0,0,0,1,0
"2","Echinoderm","Early","Paracentrotus lividus",4.0445581424139,"organism","water","Marine","Acute",2,"translocatable",6,"NOEC","Fitness","Mortality",5.94953022803332,3.28710618428073,0,1,0,0,0,0,0,0,0,0,1,0
"3","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"not_available","Metabolism","Oxidative Stress",1.78455794103142,-0.461566397738024,0,0,0,0,0,0,1,0,0,0,0,1
"4","Crustacea","Early","Daphnia pulex",0.07087,"organism","water","Freshwater","Chronic",21,"translocatable",4,"not_available","Fitness","Reproduction",4.51485031876261,3.62826452421729,0,1,0,0,0,0,0,0,0,0,1,0
"5","Crustacea","Early","Ceriodaphnia dubia",0.03567,"organism","water","Freshwater","Acute",8,"non-translocatable",4,"not_available","Fitness","Reproduction",1.52332716758557,2.20254207443103,0,0,1,0,0,0,0,0,0,1,0,0
"6","Crustacea","Early","Ceriodaphnia dubia",0.03567,"organism","water","Freshwater","Acute",7,"translocatable",4,"not_available","Fitness","Reproduction",1.81802324624991,1.09789822968446,0,1,0,0,0,0,0,0,0,0,1,0
"7","Fish","Adult","Danio rerio",0.4,"organism","water","Freshwater","Acute",10,"translocatable",6,"not_available","Fitness","Mortality",0.70649218400075,-0.144772287059974,0,1,0,0,0,0,0,0,0,0,1,0
"8","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"not_available","Fitness","Sex Hormones",-0.152815033207773,-2.39893937197722,0,0,0,0,0,0,1,0,0,0,0,1
"9","Crustacea","Juvenile","Gammarus pulex",1.44941288885944,"organism","water","Freshwater","Chronic",48,"translocatable",6,"not_available","Fitness","Mortality",3.09679844927477,1.43077825232444,0,0,1,0,0,0,0,0,0,0,1,0
"10","Crustacea","Early","Ceriodaphnia dubia",0.03567,"organism","water","Freshwater","Acute",7,"translocatable",4,"not_available","Fitness","Reproduction",3.81802324624991,3.09789822968446,0,1,0,0,0,0,0,0,0,0,1,0
"11","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"LOEC","Fitness","Sex Hormones",-0.152815033207773,-2.39893937197722,0,0,0,0,0,0,1,0,0,0,0,1
"12","Crustacea","Adult","Gammarus pulex",1.44941288885944,"subcell","water","Freshwater","Chronic",48,"translocatable",1,"NOEC","Metabolism","Lipid Metabolism",5.85376040058848,4.18774020363815,0,0,1,0,0,0,0,0,0,0,1,0
"13","Crustacea","Early","Daphnia magna",0.11487,"organism","water","Freshwater","Chronic",21,"translocatable",4,"NOEC","Fitness","Reproduction",4.44552043527663,3.29938611169225,0,1,0,0,0,0,0,0,0,0,1,0
"14","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"not_available","Fitness","Sex Hormones",-0.152815033207773,-2.39893937197722,0,0,0,0,0,0,1,0,0,0,0,1
"15","Rotifera","Early","Brachionus koreanus",0.0547861879401367,"population","water","Marine","Acute",12,"translocatable",5,"not_available","Fitness","Reproduction",-0.259221181770829,-0.24655922583403,0,0,0,0,0,0,1,0,0,0,0,1
"16","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"not_available","Metabolism","Oxidative Stress",-0.152815033207773,-2.39893937197722,0,0,0,0,0,0,1,0,0,0,0,1
"17","Crustacea","Adult","Gammarus pulex",1.44941288885944,"subcell","water","Freshwater","Chronic",48,"translocatable",1,"not_available","Metabolism","Carb Metabolism",4.85376040058848,3.18774020363815,0,0,1,0,0,0,0,0,0,0,1,0
"18","Crustacea","Early","Tigriopus fulvus",0.104679876581976,"organism","water","Marine","Acute",2,"translocatable",6,"not_available","Fitness","Mortality",3.81893132474007,2.89799206443084,0,1,0,0,0,0,0,0,0,0,1,0
"19","Crustacea","Early","Ceriodaphnia dubia",0.03567,"organism","water","Freshwater","Acute",7,"translocatable",4,"LOEC","Fitness","Reproduction",4.81802324624991,4.09789822968446,0,1,0,0,0,0,0,0,0,0,1,0
"20","Crustacea","Early","Ceriodaphnia dubia",0.03567,"organism","water","Freshwater","Acute",8,"translocatable",4,"not_available","Fitness","Reproduction",-0.618486418743515,-0.978944216489206,0,1,0,0,0,0,0,0,0,0,0,1
"21","Mollusca","Adult","Crassostrea gigas",9.51890176843551,"subcell","water","Marine","Acute",10,"non-translocatable",1,"not_available","Metabolism","Detoxification",4.11399879279861,2.01545886034801,0,0,0,0,0,1,0,0,0,0,1,0
"22","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"not_available","Fitness","Sex Hormones",0.825196813216299,-1.42092752555315,0,0,0,0,0,0,1,0,0,0,0,1
"23","Crustacea","Juvenile","Daphnia magna",0.11487,"organism","water","Freshwater","Chronic",21,"translocatable",4,"not_available","Fitness","Reproduction",5.84995198687889,5.77157549646027,0,0,0,0,0,0,0,1,0,0,1,0
"24","Crustacea","Juvenile","Daphnia magna",0.11487,"organism","water","Freshwater","Chronic",21,"translocatable",6,"not_available","Fitness","Mortality",5.84995198687889,5.77157549646027,0,0,0,0,0,0,0,1,0,0,1,0
"25","Crustacea","Early","Tigriopus japonicus",0.168691080099539,"population","water","Marine","Acute",14,"translocatable",3,"not_available","Fitness","Development",4.65510784699045,4.08458114431819,0,0,0,0,0,0,1,0,0,0,0,1
"26","Crustacea","Juvenile","Daphnia magna",0.11487,"organism","water","Freshwater","Chronic",21,"translocatable",6,"LOEC","Fitness","Mortality",7.20733254660097,7.12895605618236,0,0,0,1,0,0,0,0,0,0,1,0
"27","Mollusca","Adult","Crassostrea gigas",9.51890176843551,"subcell","water","Marine","Acute",10,"non-translocatable",1,"NOEC","Metabolism","Detoxification",5.41050225141479,3.4602140482723,0,1,0,0,0,0,0,0,0,0,1,0
"28","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"not_available","Fitness","Reproduction",1.78455794103142,-0.461566397738024,0,0,0,0,0,0,1,0,0,0,0,1
"29","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"LOEC","Fitness","Sex Hormones",1.78455794103142,-0.461566397738024,0,0,0,0,0,0,1,0,0,0,0,1
"30","Fish","Juvenile","Acanthochromis polyacanthus",8.92479394883856,"organism","water","Marine","Chronic",42,"non-translocatable",3,"NOEC","Fitness","Growth",1.15370840272509,0.073052012451356,0,0,1,0,0,0,0,0,0,0,1,0
